15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
56,Mankey,Fighting, ,305,40,80,35,35,45,70,1,False
89,Muk,Poison, ,500,105,105,75,65,100,50,1,False
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,False
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False
627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False
706,Goodra,Dragon,,600,90,100,70,110,150,80,6,False
653,Fennekin,Fire,,307,40,45,40,62,60,60,6,False
678,MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False
699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,False
403,Shinx,Electric,,263,45,65,34,40,34,45,4,False
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False
704,Goomy,Dragon,,300,45,50,35,55,75,40,6,False
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False
585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False
